Date,Symbol,Open,High,Low,Close,Close_Adj
2017-09-28,hk00572,0.205,0.205,0.192,0.193,0.199
2017-09-27,hk00572,0.184,0.201,0.184,0.199,0.184
2017-09-26,hk00572,0.18,0.191,0.18,0.184,0.183
2017-09-25,hk00572,0.199,0.201,0.18,0.183,0.199
2017-09-22,hk00572,0.21,0.212,0.196,0.199,0.209
2017-09-21,hk00572,0.207,0.21,0.19,0.209,0.207
2017-09-20,hk00572,0.215,0.217,0.203,0.207,0.21
2017-09-19,hk00572,0.212,0.218,0.207,0.21,0.212
2017-09-18,hk00572,0.221,0.227,0.21,0.212,0.217
2017-09-15,hk00572,0.214,0.225,0.205,0.217,0.212
2017-09-14,hk00572,0.193,0.217,0.19,0.212,0.19
2017-09-13,hk00572,0.193,0.196,0.188,0.19,0.192
2017-09-12,hk00572,0.198,0.209,0.188,0.192,0.195
2017-09-11,hk00572,0.183,0.203,0.181,0.195,0.181
2017-09-08,hk00572,0.183,0.193,0.178,0.181,0.179
2017-09-07,hk00572,0.203,0.211,0.176,0.179,0.202
2017-09-06,hk00572,0.205,0.216,0.201,0.202,0.207
2017-09-05,hk00572,0.222,0.234,0.203,0.207,0.218
2017-09-04,hk00572,0.205,0.247,0.185,0.218,0.195
2017-09-01,hk00572,0.165,0.196,0.162,0.195,0.172
2017-08-31,hk00572,0.19,0.19,0.166,0.172,0.183
2017-08-30,hk00572,0.174,0.186,0.169,0.183,0.169
2017-08-29,hk00572,0.15,0.179,0.147,0.169,0.148
2017-08-28,hk00572,0.145,0.157,0.141,0.148,0.144
2017-08-25,hk00572,0.131,0.152,0.131,0.144,0.133
2017-08-24,hk00572,0.146,0.146,0.132,0.133,0.143
2017-08-22,hk00572,0.139,0.149,0.138,0.143,0.139
2017-08-21,hk00572,0.155,0.157,0.137,0.139,0.151
2017-08-18,hk00572,0.16,0.164,0.15,0.151,0.165
2017-08-17,hk00572,0.16,0.173,0.156,0.165,0.145
2017-08-16,hk00572,0.128,0.167,0.128,0.145,0.115
2017-08-15,hk00572,0.11,0.116,0.109,0.115,0.11
2017-08-14,hk00572,0.11,0.113,0.108,0.11,0.11
2017-08-11,hk00572,0.11,0.114,0.11,0.11,0.11
2017-08-10,hk00572,0.122,0.122,0.11,0.11,0.122
2017-08-09,hk00572,0.126,0.128,0.119,0.122,0.126
2017-08-08,hk00572,0.125,0.128,0.12,0.126,0.128
2017-08-07,hk00572,0.125,0.133,0.125,0.128,0.125
2017-08-04,hk00572,0.121,0.132,0.118,0.125,0.121
2017-08-03,hk00572,0.126,0.126,0.12,0.121,0.127
2017-08-02,hk00572,0.123,0.131,0.123,0.127,0.13
2017-08-01,hk00572,0.134,0.139,0.126,0.13,0.134
2017-07-31,hk00572,0.128,0.142,0.128,0.134,0.127
2017-07-28,hk00572,0.109,0.135,0.108,0.127,0.109
2017-07-27,hk00572,0.11,0.114,0.107,0.109,0.109
2017-07-26,hk00572,0.11,0.112,0.108,0.109,0.11
2017-07-25,hk00572,0.112,0.116,0.109,0.11,0.112
2017-07-24,hk00572,0.102,0.12,0.102,0.112,0.102
2017-07-21,hk00572,0.109,0.11,0.101,0.102,0.108
2017-07-20,hk00572,0.112,0.112,0.107,0.108,0.114
2017-07-19,hk00572,0.115,0.118,0.107,0.114,0.111
2017-07-18,hk00572,0.112,0.113,0.11,0.111,0.109
2017-07-17,hk00572,0.117,0.117,0.109,0.109,0.115
2017-07-14,hk00572,0.118,0.123,0.114,0.115,0.118
2017-07-13,hk00572,0.116,0.124,0.116,0.118,0.119
2017-07-12,hk00572,0.123,0.123,0.115,0.119,0.122
2017-07-11,hk00572,0.132,0.138,0.117,0.122,0.132
2017-07-10,hk00572,0.141,0.141,0.129,0.132,0.141
2017-07-07,hk00572,0.126,0.152,0.123,0.141,0.126
2017-07-06,hk00572,0.127,0.135,0.118,0.126,0.127
2017-07-05,hk00572,0.114,0.13,0.114,0.127,0.113
2017-07-04,hk00572,0.124,0.124,0.109,0.113,0.122
2017-07-03,hk00572,0.135,0.135,0.121,0.122,0.13
2017-06-30,hk00572,0.129,0.152,0.128,0.13,0.129
2017-06-29,hk00572,0.13,0.141,0.128,0.129,0.127
2017-06-28,hk00572,0.142,0.147,0.127,0.127,0.142
2017-06-27,hk00572,0.154,0.158,0.142,0.142,0.154
2017-06-26,hk00572,0.157,0.16,0.153,0.154,0.157
2017-06-23,hk00572,0.161,0.162,0.154,0.157,0.161
2017-06-22,hk00572,0.162,0.162,0.156,0.161,0.16
2017-06-21,hk00572,0.172,0.174,0.158,0.16,0.169
2017-06-20,hk00572,0.157,0.18,0.155,0.169,0.157
2017-06-19,hk00572,0.167,0.169,0.153,0.157,0.169
2017-06-16,hk00572,0.182,0.19,0.167,0.169,0.182
2017-06-15,hk00572,0.194,0.194,0.18,0.182,0.194
2017-06-14,hk00572,0.193,0.201,0.191,0.194,0.193
2017-06-13,hk00572,0.2,0.203,0.19,0.193,0.197
2017-06-12,hk00572,0.197,0.21,0.195,0.197,0.196
2017-06-09,hk00572,0.192,0.199,0.192,0.196,0.195
2017-06-08,hk00572,0.205,0.205,0.195,0.195,0.204
2017-06-07,hk00572,0.206,0.209,0.202,0.204,0.206
2017-06-06,hk00572,0.2,0.216,0.2,0.206,0.2
2017-06-05,hk00572,0.215,0.216,0.2,0.2,0.215
2017-06-02,hk00572,0.218,0.228,0.21,0.215,0.219
2017-06-01,hk00572,0.233,0.234,0.219,0.219,0.233
2017-05-31,hk00572,0.228,0.255,0.224,0.233,0.228
2017-05-29,hk00572,0.237,0.24,0.226,0.228,0.24
2017-05-26,hk00572,0.249,0.265,0.239,0.24,0.246
2017-05-25,hk00572,0.27,0.285,0.244,0.246,0.265
2017-05-24,hk00572,0.231,0.305,0.231,0.265,0.235
2017-05-23,hk00572,0.238,0.239,0.23,0.235,0.238
2017-05-22,hk00572,0.242,0.242,0.235,0.238,0.242
2017-05-19,hk00572,0.239,0.249,0.236,0.242,0.24
2017-05-18,hk00572,0.26,0.26,0.239,0.24,0.255
2017-05-17,hk00572,0.243,0.265,0.234,0.255,0.245
2017-05-16,hk00572,0.25,0.255,0.241,0.245,0.255
2017-05-15,hk00572,0.275,0.275,0.25,0.255,0.275
2017-05-12,hk00572,0.28,0.285,0.27,0.275,0.28
2017-05-11,hk00572,0.295,0.295,0.275,0.28,0.295
2017-05-10,hk00572,0.27,0.295,0.265,0.295,0.27
2017-05-09,hk00572,0.28,0.285,0.255,0.27,0.28
2017-05-08,hk00572,0.29,0.295,0.265,0.28,0.29
2017-05-05,hk00572,0.3,0.3,0.285,0.29,0.305
2017-05-04,hk00572,0.315,0.34,0.285,0.305,0.32
2017-05-02,hk00572,0.345,0.345,0.32,0.32,0.345
2017-04-28,hk00572,0.355,0.36,0.345,0.345,0.355
2017-04-27,hk00572,0.375,0.375,0.345,0.355,0.365
2017-04-26,hk00572,0.355,0.365,0.34,0.365,0.355
2017-04-25,hk00572,0.345,0.37,0.345,0.355,0.345
2017-04-24,hk00572,0.36,0.42,0.34,0.345,0.35
2017-04-21,hk00572,0.45,0.45,0.33,0.35,0.445
2017-04-20,hk00572,0.47,0.475,0.435,0.445,0.475
2017-04-19,hk00572,0.51,0.51,0.44,0.475,0.51
2017-04-18,hk00572,0.51,0.53,0.5,0.51,0.51
2017-04-13,hk00572,0.52,0.53,0.5,0.51,0.53
2017-04-12,hk00572,0.51,0.53,0.51,0.53,0.53
2017-04-11,hk00572,0.51,0.53,0.5,0.53,0.51
2017-04-10,hk00572,0.55,0.55,0.5,0.51,0.55
2017-04-07,hk00572,0.56,0.57,0.52,0.55,0.56
2017-04-06,hk00572,0.56,0.57,0.55,0.56,0.57
2017-04-05,hk00572,0.6,0.6,0.55,0.57,0.6
2017-04-03,hk00572,0.6,0.6,0.58,0.6,0.6
2017-03-31,hk00572,0.6,0.6,0.59,0.6,0.6
2017-03-30,hk00572,0.61,0.61,0.59,0.6,0.61
2017-03-29,hk00572,0.62,0.62,0.6,0.61,0.62
2017-03-28,hk00572,0.59,0.62,0.58,0.62,0.59
2017-03-27,hk00572,0.6,0.61,0.59,0.59,0.61
2017-03-24,hk00572,0.6,0.61,0.58,0.61,0.59
2017-03-23,hk00572,0.59,0.6,0.58,0.59,0.58
2017-03-22,hk00572,0.6,0.6,0.58,0.58,0.59
2017-03-21,hk00572,0.6,0.6,0.58,0.59,0.59
2017-03-20,hk00572,0.6,0.61,0.59,0.59,0.6
2017-03-17,hk00572,0.59,0.61,0.58,0.6,0.59
2017-03-16,hk00572,0.59,0.6,0.59,0.59,0.59
2017-03-15,hk00572,0.61,0.61,0.58,0.59,0.61
2017-03-14,hk00572,0.58,0.61,0.57,0.61,0.58
2017-03-13,hk00572,0.57,0.58,0.56,0.58,0.57
2017-03-10,hk00572,0.56,0.58,0.56,0.57,0.56
2017-03-09,hk00572,0.52,0.58,0.52,0.56,0.52
2017-03-08,hk00572,0.51,0.54,0.5,0.52,0.52
2017-03-07,hk00572,0.54,0.54,0.5,0.52,0.54
2017-03-06,hk00572,0.58,0.58,0.47,0.54,0.58
2017-03-03,hk00572,0.57,0.59,0.55,0.58,0.58
2017-03-02,hk00572,0.59,0.59,0.56,0.58,0.59
2017-03-01,hk00572,0.58,0.59,0.58,0.59,0.59
2017-02-28,hk00572,0.58,0.59,0.58,0.59,0.59
2017-02-27,hk00572,0.58,0.59,0.58,0.59,0.59
2017-02-24,hk00572,0.58,0.59,0.57,0.59,0.58
2017-02-23,hk00572,0.58,0.59,0.58,0.58,0.59
2017-02-22,hk00572,0.58,0.59,0.58,0.59,0.57
2017-02-21,hk00572,0.6,0.6,0.56,0.57,0.6
2017-02-20,hk00572,0.6,0.61,0.58,0.6,0.6
2017-02-17,hk00572,0.6,0.6,0.59,0.6,0.6
2017-02-16,hk00572,0.6,0.62,0.58,0.6,0.6
2017-02-15,hk00572,0.6,0.6,0.58,0.6,0.6
2017-02-14,hk00572,0.6,0.6,0.58,0.6,0.59
2017-02-13,hk00572,0.59,0.6,0.58,0.59,0.59
2017-02-10,hk00572,0.59,0.6,0.58,0.59,0.59
2017-02-09,hk00572,0.58,0.6,0.58,0.59,0.59
2017-02-08,hk00572,0.59,0.6,0.58,0.59,0.59
2017-02-07,hk00572,0.59,0.6,0.59,0.59,0.6
2017-02-06,hk00572,0.6,0.6,0.59,0.6,0.61
2017-02-03,hk00572,0.59,0.61,0.59,0.61,0.59
2017-02-02,hk00572,0.6,0.61,0.59,0.59,0.61
2017-02-01,hk00572,0.6,0.61,0.6,0.61,0.59
2017-01-27,hk00572,0.6,0.6,0.59,0.59,0.6
2017-01-26,hk00572,0.59,0.61,0.59,0.6,0.59
2017-01-25,hk00572,0.61,0.61,0.59,0.59,0.61
2017-01-23,hk00572,0.61,0.62,0.59,0.6,0.61
2017-01-20,hk00572,0.62,0.62,0.6,0.61,0.62
2017-01-19,hk00572,0.62,0.62,0.6,0.62,0.62
2017-01-17,hk00572,0.64,0.64,0.62,0.63,0.64
2017-01-16,hk00572,0.62,0.65,0.61,0.64,0.62
2017-01-13,hk00572,0.61,0.63,0.6,0.62,0.61
2017-01-12,hk00572,0.61,0.62,0.6,0.61,0.61
2017-01-11,hk00572,0.61,0.62,0.6,0.61,0.6
2017-01-10,hk00572,0.61,0.62,0.6,0.6,0.61
2017-01-09,hk00572,0.61,0.62,0.6,0.61,0.61
2017-01-06,hk00572,0.62,0.63,0.61,0.61,0.63
2017-01-05,hk00572,0.64,0.65,0.62,0.63,0.64
2017-01-04,hk00572,0.64,0.65,0.62,0.64,0.64
2017-01-03,hk00572,0.63,0.67,0.63,0.64,0.63
2016-12-30,hk00572,0.6,0.63,0.57,0.63,0.6
2016-12-29,hk00572,0.6,0.62,0.59,0.6,0.6
2016-12-28,hk00572,0.61,0.62,0.59,0.6,0.61
2016-12-23,hk00572,0.62,0.63,0.6,0.61,0.63
2016-12-22,hk00572,0.62,0.63,0.61,0.63,0.62
2016-12-21,hk00572,0.61,0.63,0.61,0.62,0.62
2016-12-20,hk00572,0.61,0.62,0.6,0.62,0.61
2016-12-19,hk00572,0.6,0.65,0.6,0.61,0.6
2016-12-16,hk00572,0.59,0.62,0.59,0.6,0.59
2016-12-15,hk00572,0.58,0.6,0.56,0.59,0.58
2016-12-14,hk00572,0.6,0.6,0.57,0.58,0.6
2016-12-13,hk00572,0.62,0.63,0.59,0.6,0.62
2016-12-12,hk00572,0.64,0.64,0.61,0.62,0.64
2016-12-09,hk00572,0.64,0.65,0.62,0.64,0.64
2016-12-08,hk00572,0.63,0.64,0.6,0.64,0.63
2016-12-07,hk00572,0.64,0.64,0.59,0.63,0.64
2016-12-06,hk00572,0.65,0.66,0.63,0.64,0.65
2016-12-05,hk00572,0.65,0.66,0.64,0.65,0.65
2016-12-02,hk00572,0.68,0.68,0.64,0.65,0.68
2016-12-01,hk00572,0.69,0.69,0.66,0.68,0.69
2016-11-30,hk00572,0.72,0.73,0.67,0.69,0.72
2016-11-29,hk00572,0.74,0.75,0.69,0.72,0.73
2016-11-28,hk00572,0.69,0.75,0.69,0.73,0.69
2016-11-25,hk00572,0.66,0.71,0.65,0.69,0.65
2016-11-24,hk00572,0.61,0.67,0.61,0.65,0.6
2016-11-18,hk00572,0.62,0.62,0.6,0.62,0.62
2016-11-17,hk00572,0.62,0.63,0.61,0.62,0.63
2016-11-16,hk00572,0.64,0.65,0.61,0.63,0.61
2016-11-15,hk00572,0.6,0.62,0.59,0.61,0.6
2016-11-14,hk00572,0.6,0.62,0.57,0.6,0.6
2016-11-11,hk00572,0.62,0.63,0.59,0.6,0.62
2016-11-10,hk00572,0.61,0.65,0.59,0.62,0.57
2016-11-09,hk00572,0.68,0.68,0.57,0.57,0.68
2016-11-08,hk00572,0.69,0.7,0.67,0.68,0.69
2016-11-07,hk00572,0.68,0.7,0.67,0.69,0.69
2016-11-04,hk00572,0.72,0.73,0.68,0.69,0.72
2016-11-03,hk00572,0.72,0.75,0.7,0.72,0.71
2016-11-02,hk00572,0.67,0.73,0.67,0.71,0.67
2016-11-01,hk00572,0.67,0.68,0.63,0.67,0.67
2016-10-31,hk00572,0.71,0.71,0.65,0.67,0.71
2016-10-28,hk00572,0.7,0.71,0.69,0.71,0.7
2016-10-27,hk00572,0.73,0.73,0.69,0.7,0.72
2016-10-26,hk00572,0.72,0.73,0.71,0.72,0.72
2016-10-25,hk00572,0.72,0.74,0.7,0.72,0.72
2016-10-24,hk00572,0.7,0.75,0.68,0.72,0.7
2016-10-20,hk00572,0.75,0.75,0.69,0.7,0.75
2016-10-19,hk00572,0.79,0.8,0.73,0.75,0.79
2016-10-18,hk00572,0.8,0.83,0.77,0.79,0.8
2016-10-17,hk00572,0.78,0.8,0.73,0.8,0.78
2016-10-14,hk00572,0.8,0.8,0.76,0.78,0.79
2016-10-12,hk00572,0.79,0.84,0.73,0.78,0.77
2016-10-11,hk00572,0.65,0.78,0.64,0.77,0.62
2016-10-07,hk00572,0.6,0.64,0.57,0.62,0.59
