Date,Symbol,Open,High,Low,Close,Close_Adj
2017-09-28,hk00612,4.25,4.29,3.74,4.24,4.26
2017-09-27,hk00612,4.37,4.49,4.2,4.26,4.37
2017-09-26,hk00612,4.07,4.39,4.05,4.37,4.05
2017-09-25,hk00612,3.7,4.08,3.65,4.05,3.7
2017-09-22,hk00612,3.48,3.71,3.44,3.7,3.4
2017-09-21,hk00612,3.47,3.49,3.19,3.4,3.47
2017-09-20,hk00612,3.21,3.49,3.2,3.47,3.2
2017-09-19,hk00612,3.08,3.2,3.03,3.2,3.08
2017-09-18,hk00612,3.16,3.16,2.95,3.08,3.02
2017-09-15,hk00612,2.83,3.03,2.76,3.02,2.83
2017-09-14,hk00612,2.78,2.83,2.53,2.83,2.77
2017-09-13,hk00612,2.78,2.85,2.72,2.77,2.75
2017-09-12,hk00612,2.65,2.9,2.62,2.75,2.6
2017-09-11,hk00612,2.42,2.63,2.35,2.6,2.4
2017-09-08,hk00612,2.37,2.4,2.33,2.4,2.34
2017-09-07,hk00612,2.41,2.45,2.33,2.34,2.4
2017-09-06,hk00612,2.29,2.41,2.28,2.4,2.33
2017-09-05,hk00612,2.09,2.34,2.08,2.33,2.09
2017-09-04,hk00612,2.01,2.12,2.0,2.09,2.04
2017-09-01,hk00612,2.04,2.13,1.98,2.04,2.04
2017-08-31,hk00612,2.08,2.08,1.99,2.04,2.08
2017-08-30,hk00612,2.17,2.26,2.05,2.08,2.17
2017-08-29,hk00612,2.42,2.42,2.15,2.17,2.28
2017-08-28,hk00612,2.4,2.44,2.23,2.28,2.39
2017-08-25,hk00612,2.3,2.39,2.2,2.39,2.3
2017-08-24,hk00612,2.11,2.3,2.08,2.3,2.16
2017-08-22,hk00612,2.1,2.19,2.08,2.16,2.12
2017-08-21,hk00612,2.17,2.3,2.02,2.12,2.17
2017-08-18,hk00612,1.98,2.23,1.95,2.17,1.99
2017-08-17,hk00612,1.84,2.0,1.84,1.99,1.84
2017-08-16,hk00612,1.83,1.86,1.8,1.84,1.83
2017-08-15,hk00612,1.89,1.91,1.83,1.83,1.89
2017-08-14,hk00612,1.9,1.94,1.85,1.89,1.91
2017-08-11,hk00612,1.96,1.96,1.7,1.91,1.95
2017-08-10,hk00612,1.76,1.99,1.73,1.95,1.7
2017-08-09,hk00612,1.59,1.73,1.58,1.7,1.62
2017-08-08,hk00612,1.69,1.74,1.57,1.62,1.66
2017-08-07,hk00612,1.49,1.7,1.49,1.66,1.49
2017-08-04,hk00612,1.4,1.49,1.36,1.49,1.39
2017-08-03,hk00612,1.27,1.4,1.27,1.39,1.26
2017-08-02,hk00612,1.14,1.26,1.1,1.26,1.13
2017-08-01,hk00612,1.09,1.15,1.08,1.13,1.08
2017-07-31,hk00612,1.07,1.15,1.03,1.08,1.04
2017-07-28,hk00612,0.91,1.05,0.84,1.04,0.87
2017-07-27,hk00612,0.88,0.92,0.87,0.87,0.88
2017-07-26,hk00612,0.82,0.89,0.78,0.88,0.81
2017-07-25,hk00612,0.78,0.84,0.77,0.81,0.76
2017-07-24,hk00612,0.75,0.76,0.75,0.76,0.76
2017-07-21,hk00612,0.75,0.76,0.74,0.76,0.74
2017-07-20,hk00612,0.75,0.77,0.74,0.74,0.76
2017-07-19,hk00612,0.75,0.77,0.74,0.76,0.76
2017-07-18,hk00612,0.77,0.78,0.74,0.76,0.77
2017-07-17,hk00612,0.78,0.82,0.71,0.77,0.79
2017-07-14,hk00612,0.8,0.83,0.78,0.79,0.8
2017-07-13,hk00612,0.83,0.83,0.8,0.8,0.83
2017-07-12,hk00612,0.87,0.88,0.83,0.83,0.87
2017-07-11,hk00612,0.86,0.92,0.86,0.87,0.85
2017-07-10,hk00612,0.88,0.89,0.85,0.85,0.87
2017-07-07,hk00612,0.85,0.87,0.84,0.87,0.86
2017-07-06,hk00612,0.84,0.89,0.84,0.86,0.85
2017-07-05,hk00612,0.85,0.87,0.82,0.85,0.83
2017-07-04,hk00612,0.85,0.9,0.83,0.83,0.85
2017-07-03,hk00612,0.8,0.85,0.8,0.85,0.79
2017-06-30,hk00612,0.79,0.81,0.79,0.79,0.79
2017-06-29,hk00612,0.79,0.81,0.77,0.79,0.8
2017-06-28,hk00612,0.82,0.82,0.79,0.8,0.83
2017-06-27,hk00612,0.85,0.87,0.82,0.83,0.86
2017-06-26,hk00612,0.84,0.87,0.8,0.86,0.85
2017-06-23,hk00612,0.82,0.85,0.8,0.85,0.82
2017-06-22,hk00612,0.74,0.82,0.73,0.82,0.76
2017-06-21,hk00612,0.78,0.78,0.76,0.76,0.79
2017-06-20,hk00612,0.8,0.81,0.79,0.79,0.81
2017-06-19,hk00612,0.79,0.81,0.76,0.81,0.79
2017-06-16,hk00612,0.75,0.8,0.74,0.79,0.75
2017-06-15,hk00612,0.73,0.8,0.72,0.75,0.74
2017-06-14,hk00612,0.71,0.75,0.67,0.74,0.75
2017-06-13,hk00612,0.72,0.75,0.68,0.75,0.75
2017-06-12,hk00612,0.75,0.77,0.71,0.75,0.72
2017-06-09,hk00612,0.72,0.78,0.7,0.72,0.73
2017-06-08,hk00612,0.69,0.73,0.68,0.73,0.68
2017-06-07,hk00612,0.69,0.7,0.66,0.68,0.69
2017-06-06,hk00612,0.69,0.71,0.67,0.69,0.69
2017-06-05,hk00612,0.69,0.7,0.65,0.69,0.66
2017-06-02,hk00612,0.69,0.7,0.62,0.66,0.7
2017-06-01,hk00612,0.61,0.7,0.61,0.7,0.62
2017-05-31,hk00612,0.62,0.64,0.6,0.62,0.62
2017-05-29,hk00612,0.62,0.63,0.62,0.62,0.64
2017-05-26,hk00612,0.64,0.66,0.61,0.64,0.66
2017-05-25,hk00612,0.65,0.67,0.64,0.66,0.65
2017-05-24,hk00612,0.68,0.68,0.64,0.65,0.65
2017-05-23,hk00612,0.72,0.72,0.65,0.65,0.75
2017-05-22,hk00612,0.77,0.78,0.69,0.75,0.7
2017-05-19,hk00612,0.61,0.7,0.58,0.7,0.62
2017-05-18,hk00612,0.62,0.66,0.53,0.62,0.63
2017-05-17,hk00612,0.63,0.64,0.63,0.63,0.64
2017-05-16,hk00612,0.63,0.65,0.62,0.64,0.65
2017-05-15,hk00612,0.65,0.66,0.62,0.65,0.65
2017-05-12,hk00612,0.67,0.67,0.65,0.65,0.68
2017-05-11,hk00612,0.67,0.7,0.64,0.68,0.67
2017-05-10,hk00612,0.65,0.67,0.64,0.67,0.66
2017-05-09,hk00612,0.68,0.68,0.67,0.67,0.66
2017-05-08,hk00612,0.68,0.68,0.64,0.66,0.64
2017-05-05,hk00612,0.65,0.65,0.64,0.64,0.65
2017-05-04,hk00612,0.64,0.67,0.63,0.65,0.65
2017-05-02,hk00612,0.67,0.67,0.65,0.65,0.67
2017-04-28,hk00612,0.67,0.69,0.66,0.67,0.67
2017-04-27,hk00612,0.69,0.69,0.66,0.67,0.7
2017-04-26,hk00612,0.69,0.7,0.69,0.7,0.68
2017-04-25,hk00612,0.7,0.7,0.67,0.68,0.68
2017-04-24,hk00612,0.69,0.69,0.68,0.68,0.7
2017-04-21,hk00612,0.71,0.72,0.7,0.7,0.71
2017-04-20,hk00612,0.7,0.72,0.7,0.71,0.71
2017-04-19,hk00612,0.72,0.72,0.71,0.71,0.72
2017-04-18,hk00612,0.72,0.75,0.72,0.72,0.75
2017-04-13,hk00612,0.72,0.75,0.72,0.75,0.72
2017-04-12,hk00612,0.74,0.75,0.72,0.72,0.74
2017-04-11,hk00612,0.7,0.74,0.7,0.74,0.7
2017-04-10,hk00612,0.7,0.71,0.7,0.7,0.7
2017-04-07,hk00612,0.7,0.72,0.68,0.7,0.7
2017-04-06,hk00612,0.68,0.7,0.68,0.7,0.69
2017-04-05,hk00612,0.65,0.7,0.65,0.69,0.67
2017-04-03,hk00612,0.67,0.68,0.65,0.67,0.69
2017-03-31,hk00612,0.71,0.71,0.69,0.69,0.7
2017-03-30,hk00612,0.68,0.7,0.68,0.7,0.69
2017-03-29,hk00612,0.7,0.7,0.69,0.69,0.7
2017-03-28,hk00612,0.73,0.73,0.7,0.7,0.73
2017-03-27,hk00612,0.72,0.75,0.72,0.73,0.72
2017-03-24,hk00612,0.69,0.73,0.67,0.72,0.7
2017-03-23,hk00612,0.68,0.71,0.68,0.7,0.67
2017-03-22,hk00612,0.66,0.68,0.66,0.67,0.68
2017-03-21,hk00612,0.65,0.7,0.65,0.68,0.65
2017-03-20,hk00612,0.67,0.67,0.65,0.65,0.66
2017-03-17,hk00612,0.7,0.7,0.66,0.66,0.7
2017-03-16,hk00612,0.71,0.73,0.7,0.7,0.7
2017-03-15,hk00612,0.71,0.71,0.69,0.7,0.69
2017-03-14,hk00612,0.72,0.72,0.69,0.69,0.72
2017-03-13,hk00612,0.74,0.74,0.72,0.72,0.74
2017-03-10,hk00612,0.81,0.82,0.72,0.74,0.8
2017-03-09,hk00612,0.8,0.82,0.79,0.8,0.8
2017-03-08,hk00612,0.79,0.8,0.79,0.8,0.79
2017-03-07,hk00612,0.79,0.8,0.78,0.79,0.78
2017-03-06,hk00612,0.76,0.78,0.75,0.78,0.76
2017-03-03,hk00612,0.75,0.77,0.75,0.76,0.75
2017-03-02,hk00612,0.75,0.75,0.73,0.75,0.75
