Date,Symbol,Open,High,Low,Close,Close_Adj
2017-09-28,hk00508,0.42,0.455,0.4,0.43,0.4
2017-09-27,hk00508,0.35,0.415,0.35,0.4,0.36
2017-09-26,hk00508,0.36,0.36,0.35,0.36,0.36
2017-09-25,hk00508,0.355,0.36,0.335,0.36,0.355
2017-09-22,hk00508,0.35,0.355,0.34,0.355,0.355
2017-09-21,hk00508,0.36,0.36,0.345,0.355,0.355
2017-09-20,hk00508,0.37,0.37,0.35,0.355,0.375
2017-09-19,hk00508,0.36,0.405,0.34,0.375,0.35
2017-09-18,hk00508,0.36,0.36,0.33,0.35,0.355
2017-09-15,hk00508,0.37,0.37,0.35,0.355,0.37
2017-09-14,hk00508,0.38,0.38,0.36,0.37,0.375
2017-09-13,hk00508,0.365,0.38,0.355,0.375,0.37
2017-09-12,hk00508,0.39,0.395,0.345,0.37,0.38
2017-09-11,hk00508,0.415,0.425,0.37,0.38,0.415
2017-09-08,hk00508,0.41,0.465,0.355,0.415,0.365
2017-09-07,hk00508,0.93,0.93,0.23,0.365,0.94
2017-09-06,hk00508,0.94,0.95,0.93,0.94,0.95
2017-09-05,hk00508,0.94,0.95,0.93,0.95,0.95
2017-09-04,hk00508,0.98,0.98,0.91,0.95,0.98
2017-09-01,hk00508,0.96,0.98,0.95,0.98,0.98
2017-08-31,hk00508,0.97,0.99,0.97,0.98,0.98
2017-08-30,hk00508,0.97,0.99,0.97,0.98,0.97
2017-08-29,hk00508,0.99,0.99,0.97,0.97,0.99
2017-08-28,hk00508,0.99,0.99,0.96,0.99,0.99
2017-08-25,hk00508,1.0,1.02,0.98,0.99,0.99
2017-08-24,hk00508,0.98,1.0,0.97,0.99,0.98
2017-08-22,hk00508,0.98,0.99,0.97,0.98,0.98
2017-08-21,hk00508,0.98,0.98,0.96,0.98,0.98
2017-08-18,hk00508,1.01,1.01,0.97,0.98,0.99
2017-08-17,hk00508,0.93,1.03,0.93,0.99,0.94
2017-08-16,hk00508,0.95,0.97,0.93,0.94,0.96
2017-08-15,hk00508,0.95,0.98,0.94,0.96,0.97
2017-08-14,hk00508,1.01,1.02,0.93,0.97,1.0
2017-08-11,hk00508,1.03,1.03,0.94,1.0,1.04
2017-08-10,hk00508,1.05,1.06,1.01,1.04,1.05
2017-08-09,hk00508,1.07,1.09,1.04,1.05,1.08
2017-08-08,hk00508,1.07,1.09,1.06,1.08,1.1
2017-08-07,hk00508,1.1,1.12,1.07,1.1,1.12
2017-08-04,hk00508,1.13,1.13,1.08,1.12,1.13
2017-08-03,hk00508,1.12,1.15,1.11,1.13,1.14
2017-08-02,hk00508,1.14,1.15,1.1,1.14,1.14
2017-08-01,hk00508,1.13,1.15,1.11,1.14,1.14
2017-07-31,hk00508,1.15,1.15,1.13,1.14,1.15
2017-07-28,hk00508,1.15,1.16,1.15,1.15,1.15
2017-07-27,hk00508,1.15,1.19,1.15,1.15,1.15
2017-07-26,hk00508,1.1,1.16,1.08,1.15,1.1
2017-07-25,hk00508,1.16,1.17,1.1,1.1,1.17
2017-07-24,hk00508,1.09,1.18,1.09,1.17,1.17
2017-07-21,hk00508,1.18,1.18,1.15,1.17,1.18
2017-07-20,hk00508,1.19,1.19,1.17,1.18,1.19
2017-07-19,hk00508,1.2,1.2,1.18,1.19,1.2
2017-07-18,hk00508,1.2,1.21,1.19,1.2,1.21
2017-07-17,hk00508,1.21,1.21,1.19,1.21,1.2
2017-07-14,hk00508,1.2,1.21,1.19,1.2,1.21
2017-07-13,hk00508,1.2,1.21,1.19,1.21,1.2
2017-07-12,hk00508,1.21,1.21,1.19,1.2,1.2
2017-07-11,hk00508,1.2,1.22,1.19,1.2,1.2
2017-07-10,hk00508,1.19,1.2,1.18,1.2,1.18
