Date,Symbol,Open,High,Low,Close,Close_Adj
2017-09-28,hk00372,0.59,0.59,0.58,0.58,0.58
2017-09-27,hk00372,0.58,0.59,0.57,0.58,0.58
2017-09-26,hk00372,0.59,0.6,0.58,0.58,0.59
2017-09-25,hk00372,0.6,0.61,0.58,0.59,0.6
2017-09-22,hk00372,0.58,0.61,0.58,0.6,0.59
2017-09-21,hk00372,0.58,0.59,0.57,0.59,0.58
2017-09-20,hk00372,0.56,0.59,0.56,0.58,0.57
2017-09-19,hk00372,0.56,0.58,0.53,0.57,0.56
2017-09-18,hk00372,0.62,0.65,0.55,0.56,0.62
2017-09-15,hk00372,0.64,0.65,0.62,0.62,0.64
2017-09-14,hk00372,0.61,0.64,0.6,0.64,0.61
2017-09-13,hk00372,0.62,0.62,0.6,0.61,0.62
2017-09-12,hk00372,0.61,0.62,0.59,0.62,0.61
2017-09-11,hk00372,0.55,0.61,0.55,0.61,0.55
2017-09-08,hk00372,0.53,0.59,0.53,0.55,0.53
2017-09-07,hk00372,0.52,0.53,0.52,0.53,0.52
2017-09-06,hk00372,0.52,0.53,0.51,0.52,0.52
2017-09-05,hk00372,0.52,0.53,0.52,0.52,0.53
2017-09-04,hk00372,0.51,0.55,0.51,0.53,0.52
2017-09-01,hk00372,0.5,0.53,0.5,0.52,0.52
2017-08-31,hk00372,0.51,0.53,0.5,0.52,0.51
2017-08-30,hk00372,0.5,0.53,0.5,0.51,0.52
2017-08-29,hk00372,0.52,0.53,0.51,0.52,0.52
2017-08-28,hk00372,0.53,0.54,0.52,0.52,0.53
2017-08-25,hk00372,0.52,0.53,0.51,0.53,0.52
2017-08-24,hk00372,0.48,0.52,0.48,0.52,0.475
2017-08-22,hk00372,0.45,0.475,0.45,0.475,0.45
2017-08-21,hk00372,0.51,0.52,0.445,0.45,0.51
2017-08-18,hk00372,0.52,0.52,0.51,0.51,0.53
2017-08-17,hk00372,0.53,0.53,0.52,0.53,0.54
2017-08-16,hk00372,0.53,0.54,0.52,0.54,0.53
2017-08-15,hk00372,0.54,0.54,0.53,0.53,0.54
2017-08-14,hk00372,0.53,0.54,0.53,0.54,0.53
2017-08-11,hk00372,0.55,0.55,0.53,0.53,0.55
2017-08-10,hk00372,0.54,0.55,0.53,0.55,0.54
2017-08-09,hk00372,0.55,0.55,0.54,0.54,0.54
2017-08-08,hk00372,0.57,0.57,0.54,0.54,0.57
2017-08-07,hk00372,0.55,0.57,0.55,0.57,0.55
2017-08-04,hk00372,0.54,0.57,0.54,0.55,0.55
2017-08-03,hk00372,0.53,0.56,0.53,0.55,0.54
2017-08-02,hk00372,0.54,0.55,0.53,0.54,0.53
2017-08-01,hk00372,0.53,0.54,0.53,0.53,0.53
2017-07-31,hk00372,0.55,0.55,0.53,0.53,0.55
2017-07-28,hk00372,0.56,0.56,0.55,0.55,0.56
2017-07-27,hk00372,0.56,0.57,0.56,0.56,0.56
2017-07-26,hk00372,0.57,0.58,0.56,0.56,0.58
2017-07-25,hk00372,0.57,0.58,0.56,0.58,0.56
2017-07-24,hk00372,0.55,0.56,0.54,0.56,0.55
2017-07-21,hk00372,0.55,0.56,0.53,0.55,0.55
2017-07-20,hk00372,0.55,0.56,0.54,0.55,0.56
2017-07-19,hk00372,0.55,0.56,0.53,0.56,0.56
2017-07-18,hk00372,0.58,0.58,0.55,0.56,0.58
2017-07-17,hk00372,0.58,0.6,0.58,0.58,0.58
2017-07-14,hk00372,0.56,0.58,0.56,0.58,0.57
2017-07-13,hk00372,0.57,0.57,0.56,0.57,0.57
2017-07-12,hk00372,0.54,0.58,0.54,0.57,0.54
2017-07-11,hk00372,0.52,0.56,0.52,0.54,0.54
2017-07-10,hk00372,0.53,0.54,0.52,0.54,0.53
2017-07-07,hk00372,0.53,0.54,0.52,0.53,0.53
2017-07-06,hk00372,0.53,0.54,0.53,0.53,0.53
2017-07-05,hk00372,0.54,0.55,0.51,0.53,0.53
2017-07-04,hk00372,0.57,0.58,0.52,0.53,0.58
2017-07-03,hk00372,0.6,0.6,0.57,0.58,0.6
2017-06-30,hk00372,0.6,0.6,0.59,0.6,0.61
2017-06-29,hk00372,0.58,0.61,0.58,0.61,0.57
2017-06-28,hk00372,0.61,0.61,0.57,0.57,0.62
2017-06-27,hk00372,0.65,0.65,0.56,0.62,0.66
2017-06-26,hk00372,0.65,0.66,0.63,0.66,0.69
2017-06-23,hk00372,0.67,0.69,0.66,0.69,0.67
2017-06-22,hk00372,0.69,0.71,0.65,0.67,0.69
2017-06-21,hk00372,0.71,0.71,0.68,0.69,0.71
2017-06-20,hk00372,0.66,0.71,0.66,0.71,0.66
2017-06-19,hk00372,0.63,0.66,0.63,0.66,0.64
2017-06-16,hk00372,0.63,0.64,0.63,0.64,0.63
2017-06-15,hk00372,0.64,0.66,0.63,0.63,0.64
2017-06-14,hk00372,0.64,0.64,0.63,0.64,0.64
2017-06-13,hk00372,0.62,0.65,0.62,0.64,0.62
2017-06-12,hk00372,0.65,0.65,0.61,0.62,0.65
2017-06-09,hk00372,0.67,0.68,0.63,0.65,0.66
2017-06-08,hk00372,0.62,0.68,0.61,0.66,0.62
2017-06-07,hk00372,0.62,0.64,0.61,0.62,0.61
2017-06-06,hk00372,0.63,0.64,0.61,0.61,0.63
2017-06-05,hk00372,0.62,0.65,0.62,0.63,0.64
2017-06-02,hk00372,0.64,0.64,0.63,0.64,0.64
2017-06-01,hk00372,0.63,0.64,0.61,0.64,0.63
2017-05-31,hk00372,0.72,0.73,0.59,0.63,0.73
2017-05-29,hk00372,0.75,0.75,0.72,0.73,0.75
2017-05-26,hk00372,0.75,0.77,0.74,0.75,0.76
2017-05-25,hk00372,0.74,0.78,0.74,0.76,0.74
2017-05-24,hk00372,0.74,0.75,0.7,0.74,0.75
2017-05-23,hk00372,0.8,0.81,0.73,0.75,0.8
2017-05-22,hk00372,0.8,0.82,0.78,0.8,0.8
2017-05-19,hk00372,0.78,0.82,0.78,0.8,0.78
2017-05-18,hk00372,0.8,0.84,0.77,0.78,0.8
2017-05-17,hk00372,0.76,0.82,0.74,0.8,0.75
2017-05-16,hk00372,0.77,0.77,0.73,0.75,0.76
2017-05-15,hk00372,0.78,0.83,0.74,0.76,0.77
2017-05-12,hk00372,0.69,0.8,0.69,0.77,0.69
2017-05-11,hk00372,0.73,0.74,0.69,0.69,0.73
2017-05-10,hk00372,0.77,0.81,0.72,0.73,0.78
2017-05-09,hk00372,0.67,0.79,0.67,0.78,0.66
2017-05-08,hk00372,0.67,0.67,0.64,0.66,0.67
2017-05-05,hk00372,0.64,0.67,0.63,0.67,0.64
2017-05-04,hk00372,0.64,0.65,0.61,0.64,0.65
2017-05-02,hk00372,0.68,0.69,0.64,0.65,0.67
2017-04-28,hk00372,0.68,0.7,0.67,0.67,0.68
2017-04-27,hk00372,0.66,0.71,0.61,0.68,0.66
2017-04-26,hk00372,0.63,0.68,0.61,0.66,0.63
2017-04-25,hk00372,0.58,0.63,0.58,0.63,0.58
2017-04-24,hk00372,0.57,0.58,0.56,0.58,0.56
2017-04-21,hk00372,0.56,0.57,0.56,0.56,0.57
2017-04-20,hk00372,0.57,0.57,0.56,0.57,0.56
2017-04-19,hk00372,0.57,0.57,0.54,0.56,0.57
2017-04-18,hk00372,0.58,0.59,0.57,0.57,0.58
2017-04-13,hk00372,0.59,0.6,0.57,0.58,0.59
2017-04-12,hk00372,0.58,0.62,0.58,0.59,0.57
2017-04-11,hk00372,0.57,0.57,0.56,0.57,0.57
2017-04-10,hk00372,0.55,0.57,0.55,0.57,0.55
2017-04-07,hk00372,0.55,0.56,0.54,0.55,0.56
2017-04-06,hk00372,0.54,0.56,0.54,0.56,0.54
2017-04-05,hk00372,0.55,0.55,0.54,0.54,0.56
2017-04-03,hk00372,0.55,0.56,0.55,0.56,0.55
2017-03-31,hk00372,0.56,0.56,0.55,0.55,0.57
2017-03-30,hk00372,0.57,0.57,0.55,0.57,0.58
2017-03-29,hk00372,0.6,0.61,0.57,0.58,0.6
2017-03-28,hk00372,0.56,0.6,0.55,0.6,0.55
2017-03-27,hk00372,0.57,0.57,0.55,0.55,0.56
2017-03-24,hk00372,0.56,0.57,0.55,0.56,0.55
2017-03-23,hk00372,0.57,0.57,0.55,0.55,0.56
2017-03-22,hk00372,0.57,0.57,0.56,0.56,0.58
2017-03-21,hk00372,0.55,0.58,0.54,0.58,0.55
2017-03-20,hk00372,0.55,0.55,0.53,0.55,0.55
